Avg. Area Income;Avg. Area Number of Rooms;Avg. Area Number of Bedrooms;Area Population;Price
7.954.545.857.431.670;7.009.188.142.792.230;4.09;23.086.800.502.686.400;10.590.335.578.701.200
Laurabury;;;;
7.924.864.245.482.560;6.730.821.019.094.910;3.09;4.017.307.217.364.480;150.589.091.484.695
Lake Kathleen;;;;
61.287.067.178.656.700;8.512.727.430.375.090;5.13;3.688.215.939.970.450;10.589.879.878.760.800
Danieltown;;;;
6.334.524.004.622.790;5.586.728.664.827.650;3.26;3.431.024.283.090.700;12.606.168.066.294.400
"FPO AP 44820""";;;;
59.982.197.225.708.000;7.839.387.785.120.480;4.23;26.354.109.472.103.100;6.309.434.893.385.400
"FPO AE 09386""";;;;
801.757.541.594.853;6.104.512.439.428.870;4.04;26.748.428.424.689.700;10.681.380.743.935.300
Tracyport;;;;
6.469.846.342.788.770;8.147.759.585.023.430;3.41;6.082.824.908.540.710;15.020.558.173.744.000
Nguyenburgh;;;;
7.839.433.927.753.080;6.620.477.995.185.020;2.42;36.516.358.972.493.800;15.739.365.644.777.200
Lake William;;;;
5.992.766.081.334.960;63.931.209.805.509.000;2.3;2.938.739.600.281.580;7.988.695.328.331.630
"FPO AA 20957""";;;;
8.188.592.718.409.560;8.167.688.003.472.350;6.1;4.014.996.574.921.330;15.451.548.126.419.600
"DPO AE 97025""";;;;
8.052.747.208.292.280;5.042.746.799.645.980;4.1;4.722.435.984.022.190;1.707.045.722.158.050
Janetbury;;;;
5.059.369.549.704.280;7.467.627.404.008.010;4.49;34.343.991.885.578.800;6.637.323.968.963.270
Davisborough;;;;
39.033.809.236.982.300;7.250.029.317.273.490;3.1;3.922.036.146.737.240;10.428.140.978.200.900
Huffmanland;;;;
731.636.634.410.467;59.931.879.009.455.600;2.27;32.326.123.139.488.000;12.913.315.184.858.200
North John;;;;
693.913.801.843.616;8.406.417.714.534.250;4.37;35.521.294.033.173.200;14.028.182.101.658.500
"APO AP 08302""";;;;
7.309.186.674.582.320;8.517.512.711.137.970;4.01;23.929.524.053.267.900;13.066.746.599.511.900
North Carriemouth;;;;
7.970.696.305.765.740;8.219.771.123.286.250;3.12;3.971.781.357.630.950;15.567.866.001.947.700
Nicholsborough;;;;
6.192.907.701.808.920;50.970.095.543.775.600;4.3;2.459.590.149.782.290;5.284.852.467.305.960
New Gregoryshire;;;;
6.350.819.429.942.990;7.187.773.835.329.720;5.12;35.719.653.052.030.800;10.194.259.367.578.300
"DPO AE 71255""";;;;
6.208.527.640.340.480;709.180.810.424.997;5.49;44.922.106.702.293.000;10.305.914.292.116.000
Stephentown;;;;
8.629.499.908.871.050;8.011.897.853.150.560;4.07;4.756.077.533.629.520;2.146.925.339.888.660
Thomashaven;;;;
6.083.508.997.885.390;6.517.175.038.094.770;2.1;4.557.474.166.225.790;9.292.475.995.364
"FPO AP 85833""";;;;
6.449.065.026.675.500;5.478.087.730.769.140;4.31;4.035.896.010.561.750;7.188.872.315.009.270
Port Sara;;;;
